Yx,Yy,Bx,By
12.395,13.58,13.185,13.975
12.395,14.37,13.58,14.37
12.395,15.16,13.58,15.16
12.395,15.95,13.185,15.555
12.79,12.79,13.58,16.345
12.79,14.765,14.37,16.74
12.79,16.74,15.16,16.345
13.185,12.395,15.555,15.555
13.185,17.135,15.16,15.16
13.975,12,15.16,14.37
13.975,17.53,15.555,13.975
14.765,12,15.16,13.185
14.765,17.53,14.37,12.79
15.555,12.395,13.58,13.185
15.555,17.135,,
15.95,12.79,,
15.95,14.765,,
15.95,16.74,,
16.345,13.58,,
16.345,14.37,,
16.345,15.16,,
16.345,15.95,,
12,12,,
16.74,12,,
16.74,17.925,,
12,17.925,,
